Player,Tm,Salary,Cap Hit
Owen Tippett,PHI,"832,500","863,333"
Morgan Frost,PHI,"832,500","863,333"
Jeremy Swayman,BOS,"832,500","925,000"
Anton Lundell,FLA,"832,500","925,000"
Eetu Luostarinen,FLA,"832,500","897,500"
Spencer Knight,FLA,"832,500","925,000"
Timothy Liljegren,TOR,"832,500","863,333"
"Boldy, Matthew",MIN,"832,500","880,833"
"Veleno, Joseph",DET,"832,500","894,167"
"Paul, Nicholas",TBL,"832,500","749,250"
Scott Wedgewood,DAL,"825,000","825,000"
Alex Vlasic,CHI,"807,500","916,667"
Jimmy Vesey,NJD,"800,000","800,000"
Jake Evans,MTL,"800,000","750,000"
Brendan Smith,CAR,"800,000","800,000"
Ben Harpur,NSH,"800,000","800,000"
Gerald Mayhew,ANA,"800,000","800,000"
Brad Richardson,VAN,"800,000","800,000"
Luke Schenn,VAN,"800,000","850,000"
Brad Hunt,VAN,"800,000","800,000"
Philipp Kurashev,CHI,"800,000","842,500"
Mackenzie Entwistle,CHI,"800,000","811,667"
Sam Lafferty,CHI,"800,000","750,000"
Erik Gustafsson,CHI,"800,000","800,000"
Blake Lizotte,LAK,"800,000","800,000"
Logan Stanley,WPG,"800,000","900,000"
Garnet Hathaway,WSH,"800,000","1,500,000"
Player,Tm,Salary,Cap Hit
Nic Dowd,WSH,"800,000","750,000"
Kasperi Kapanen,PIT,"800,000","3,200,000"
Nate Thompson,PHI,"800,000","800,000"
Kevin Connauton,PHI,"800,000","825,000"
Curtis Lazar,BOS,"800,000","800,000"
Mason Marchment,FLA,"800,000","800,000"
Ryan Carpenter,CGY,"800,000","1,000,000"
Trevor Lewis,CGY,"800,000","800,000"
Niko Mikkola,STL,"787,500","787,500"
Mathieu Joseph,OTT,"775,000","737,500"
Nathan Bastian,NJD,"775,000","825,000"
Julien Gauthier,NYR,"775,000","775,000"
Rasmus Asplund,BUF,"775,000","825,000"
Ryan McLeod,EDM,"775,000","834,167"
Jack Studnicka,BOS,"775,000","769,167"
Austin Strand,LAK,"771,750","771,750"
"Abruzzese, Nick",TOR,"765,000","850,000"
Kale Clague,MTL,"761,250","761,250"
Alex Formenton,OTT,"750,000","747,500"
Andreas Johnsson,NJD,"750,000","3,400,000"
Dougie Hamilton,NJD,"750,000","9,000,000"
Colton White,NJD,"750,000","750,000"
Mason Geertsen,NJD,"750,000","725,000"
Nico Daws,NJD,"750,000","850,833"
Andrew Hammond,NJD,"750,000","750,000"
Jon Gillies,NJD,"750,000","750,000"
Brandon Duhaime,MIN,"750,000","750,000"
Jacob Middleton,MIN,"750,000","725,000"
Jack McBain,ARI,"750,000","883,750"
Matias Maccelli,ARI,"750,000","853,333"
Alex Galchenyuk,ARI,"750,000","750,000"
Travis Boyd,ARI,"750,000","750,000"
Michael Carcone,ARI,"750,000","750,000"
Janis Moser,ARI,"750,000","886,667"
Vladislav Kolyachonok,ARI,"750,000","789,167"
Dysin Mayo,ARI,"750,000","750,000"
Cam Dineen,ARI,"750,000","750,000"
Karel Vejmelka,ARI,"750,000","842,500"
Harri Sateri,ARI,"750,000","750,000"
Laurent Dauphin,MTL,"750,000","750,000"
Michael Pezzetta,MTL,"750,000","750,000"
Ryan Poehling,MTL,"750,000","750,000"
Jordan Harris,MTL,"750,000","842,500"
Chris Wideman,MTL,"750,000","750,000"
Corey Schueneman,MTL,"750,000","750,000"
William Lagesson,MTL,"750,000","725,000"
Logan O'Connor,COL,"750,000","725,000"
Nico Sturm,COL,"750,000","725,000"
Jack Johnson,COL,"750,000","750,000"
Scott Reedy,SJS,"750,000","842,500"
Player,Tm,Salary,Cap Hit
Noah Gregor,SJS,"750,000","750,000"
Jonathan Dahlen,SJS,"750,000","750,000"
Jeffrey Viel,SJS,"750,000","750,000"
Jaycob Megna,SJS,"750,000","750,000"
Nicolas Meloche,SJS,"750,000","750,000"
Kaapo Kahkonen,SJS,"750,000","725,000"
Jacob Peterson,DAL,"750,000","842,500"
Jason Robertson,DAL,"750,000","795,000"
Marian Studenic,DAL,"750,000","750,000"
Joel Hanley,DAL,"750,000","750,000"
Steven Lorentz,CAR,"750,000","725,000"
Nathan Walker,STL,"750,000","750,000"
Logan Brown,STL,"750,000","750,000"
Calle Rosen,STL,"750,000","750,000"
Ville Husso,STL,"750,000","750,000"
Tanner Jeannot,NSH,"750,000","800,000"
Michael McCarron,NSH,"750,000","750,000"
Matt Luff,NSH,"750,000","750,000"
Yakov Trenin,NSH,"750,000","725,000"
Roman Josi,NSH,"750,000","9,059,000"
Matt Tennyson,NSH,"750,000","750,000"
Jeremy Davies,NSH,"750,000","750,000"
Alexandre Carrier,NSH,"750,000","733,333"
Brendan Gaunce,CBJ,"750,000","750,000"
Justin Danforth,CBJ,"750,000","750,000"
Andrew Peeke,CBJ,"750,000","787,500"
Gavin Bayreuther,CBJ,"750,000","750,000"
Gabriel Carlsson,CBJ,"750,000","725,000"
Sam Carrick,ANA,"750,000","750,000"
Dominik Simon,ANA,"750,000","750,000"
Vinni Lettieri,ANA,"750,000","750,000"
Simon Benoit,ANA,"750,000","809,166"
Andrej Sustr,ANA,"750,000","750,000"
Josh Mahura,ANA,"750,000","750,000"
Alex Chiasson,VAN,"750,000","750,000"
Juho Lammikko,VAN,"750,000","750,000"
Matthew Highmore,VAN,"750,000","725,000"
Jaroslav Halak,VAN,"750,000","1,500,000"
Taylor Raddysh,CHI,"750,000","758,333"
Boris Katchouk,CHI,"750,000","758,333"
Nicolas Roy,VEG,"750,000","750,000"
Michael Amadio,VEG,"750,000","750,000"
Keegan Kolesar,VEG,"750,000","725,000"
Dylan Coghlan,VEG,"750,000","762,500"
Ben Hutton,VEG,"750,000","750,000"
Zach Whitecloud,VEG,"750,000","725,000"
Laurent Brossoit,VEG,"750,000","2,325,000"
Phillip Danault,LAK,"750,000","5,500,000"
Carl Grundstrom,LAK,"750,000","725,000"
Jordan Spence,LAK,"750,000","820,000"
Player,Tm,Salary,Cap Hit
Sean Durzi,LAK,"750,000","809,166"
Jacob Moverare,LAK,"750,000","750,000"
Givani Smith,DET,"750,000","750,000"
Gustav Lindstrom,DET,"750,000","850,000"
Olli Juolevi,DET,"750,000","750,000"
Jake Walman,DET,"750,000","725,000"
Barclay Goodrow,NYR,"750,000","3,641,667"
Dryden Hunt,NYR,"750,000","762,500"
Greg McKegg,NYR,"750,000","750,000"
Jonny Brodzinski,NYR,"750,000","750,000"
Evgeny Svechnikov,WPG,"750,000","750,000"
Dominic Toninato,WPG,"750,000","750,000"
Jansen Harkins,WPG,"750,000","725,000"
Adam Brooks,WPG,"750,000","725,000"
Eric Comrie,WPG,"750,000","750,000"
John Hayden,BUF,"750,000","750,000"
Casey Fitzgerald,BUF,"750,000","750,000"
Craig Anderson,BUF,"750,000","750,000"
Dustin Tokarski,BUF,"750,000","725,000"
Marcus Johansson,WSH,"750,000","750,000"
Martin Fehervary,WSH,"750,000","791,667"
Matt Irwin,WSH,"750,000","750,000"
Vitek Vanecek,WSH,"750,000","716,667"
Brian Boyle,PIT,"750,000","750,000"
Radim Zohorna,PIT,"750,000","750,000"
Anthony Angello,PIT,"750,000","725,000"
Chad Ruhwedel,PIT,"750,000","750,000"
Mark Friedman,PIT,"750,000","725,000"
Zach Parise,NYI,"750,000","750,000"
Kieffer Bellows,NYI,"750,000","750,000"
Zdeno Chara,NYI,"750,000","750,000"
Andy Greene,NYI,"750,000","750,000"
Sebastian Aho,NYI,"750,000","725,000"
Evander Kane,EDM,"750,000","2,108,696"
Devin Shore,EDM,"750,000","850,000"
Patrick Brown,PHI,"750,000","750,000"
Hayden Hodgson,PHI,"750,000","750,000"
Nick Seeler,PHI,"750,000","750,000"
Anton Blidh,BOS,"750,000","750,000"
Corey Perry,TBL,"750,000","1,000,000"
Pierre-Edouard Bellemare,TBL,"750,000","1,000,000"
Zach Bogosian,TBL,"750,000","850,000"
Joe Thornton,FLA,"750,000","750,000"
Ryan Lomberg,FLA,"750,000","725,000"
Brandon Montour,FLA,"750,000","3,500,000"
Petteri Lindbohm,FLA,"750,000","750,000"
Lucas Carlsson,FLA,"750,000","750,000"
Auston Matthews,TOR,"750,000","11,640,250"
Mitch Marner,TOR,"750,000","10,903,000"
Alexander Kerfoot,TOR,"750,000","3,500,000"
Player,Tm,Salary,Cap Hit
Michael Bunting,TOR,"750,000","950,000"
Wayne Simmonds,TOR,"750,000","900,000"
Jason Spezza,TOR,"750,000","750,000"
Colin Blackwell,TOR,"750,000","725,000"
Connor Mackey,CGY,"750,000","912,500"
Michael Stone,CGY,"750,000","750,000"
Oliver Kylington,CGY,"750,000","750,000"
Daniel Vladar,CGY,"750,000","750,000"
"Montembeault, Samuel",MTL,"750,000","750,000"
"Chmelevski, Alexander",SJS,"750,000","778,333"
"Aho, Sebastian",CAR,"750,000","8,460,250"
"Toropchenko, Alexei",STL,"750,000","775,000"
"Petan, Nicolas",VAN,"750,000","750,000"
"Jonsson-Fjällby, Axel",WSH,"750,000","750,000"
"Attard, Ronnie",PHI,"750,000","883,750"
"Foote, Cal",TBL,"750,000","850,000"
Andrew Cogliano,COL,"500,000","500,000"
Derick Brassard,EDM,"412,500","412,500"
